,Gender,Annual_Income,Dealer_Name,Company,Model,Engine,Color,Price_($),Body_Style,Claim_amount,City,Year,Month,Day
0,Male,13500,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,DoubleÃ‚Â Overhead Camshaft,Black,26000,SUV,0.0,Riga,2022,Jan,2
1,Male,1480000,C & M Motors Inc,Dodge,Durango,DoubleÃ‚Â Overhead Camshaft,Black,19000,SUV,1900.0,Liepaja,2022,Jan,2
2,Male,1035000,Capitol KIA,Cadillac,Eldorado,Overhead Camshaft,Red,31500,Passenger,0.0,Riga,2022,Jan,2
3,Male,13500,Chrysler of Tri-Cities,Toyota,Celica,Overhead Camshaft,Pale White,14000,SUV,0.0,Jelgava,2022,Jan,2
4,Male,1465000,Chrysler Plymouth,Acura,TL,DoubleÃ‚Â Overhead Camshaft,Red,24500,Hatchback,2450.0,Liepaja,2022,Jan,2
5,Male,850000,Classic Chevy,Mitsubishi,Diamante,Overhead Camshaft,Pale White,12000,Hatchback,0.0,Riga,2022,Jan,2
6,Male,1600000,Clay Johnson Auto Sales,Toyota,Corolla,Overhead Camshaft,Pale White,14000,Passenger,0.0,Riga,2022,Jan,2
7,Male,13500,U-Haul CO,Mitsubishi,Galant,DoubleÃ‚Â Overhead Camshaft,Pale White,42000,Passenger,0.0,Jelgava,2022,Jan,2
8,Male,815000,Rabun Used Car Sales,Chevrolet,Malibu,Overhead Camshaft,Pale White,82000,Hardtop,0.0,Ventspils,2022,Jan,2
9,Female,13500,Rabun Used Car Sales,Ford,Escort,DoubleÃ‚Â Overhead Camshaft,Pale White,15000,Passenger,0.0,Ventspils,2022,Jan,2
10,Male,13500,Race Car Help,Acura,RL,Overhead Camshaft,Pale White,31000,SUV,0.0,Liepaja,2022,Jan,2
11,Male,13500,Race Car Help,Nissan,Pathfinder,DoubleÃ‚Â Overhead Camshaft,Pale White,46000,Hardtop,0.0,Liepaja,2022,Jan,2
12,Male,885000,Saab-Belle Dodge,Mercury,Grand Marquis,DoubleÃ‚Â Overhead Camshaft,Black,9000,SUV,0.0,Riga,2022,Jan,2
13,Male,13500,Scrivener Performance Engineering,BMW,323i,DoubleÃ‚Â Overhead Camshaft,Pale White,15000,Hatchback,0.0,Daugavpils,2022,Jan,2
14,Male,722000,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Overhead Camshaft,Pale White,26000,Sedan,0.0,Daugavpils,2022,Jan,2
15,Male,746000,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Pale White,17000,Hatchback,0.0,Liepaja,2022,Jan,2
16,Female,535000,Capitol KIA,Hyundai,Accent,Overhead Camshaft,Black,18000,Hatchback,0.0,Ventspils,2022,Jan,2
17,Female,570000,Chrysler of Tri-Cities,Cadillac,Eldorado,DoubleÃ‚Â Overhead Camshaft,Pale White,31000,Passenger,0.0,Liepaja,2022,Jan,2
18,Male,685000,Chrysler Plymouth,Toyota,Land Cruiser,DoubleÃ‚Â Overhead Camshaft,Pale White,33000,SUV,0.0,Tukums,2022,Jan,2
19,Male,455000,Classic Chevy,Honda,Accord,DoubleÃ‚Â Overhead Camshaft,Pale White,21000,Sedan,2100.0,Daugavpils,2022,Jan,2
20,Male,13500,Clay Johnson Auto Sales,Toyota,4Runner,Overhead Camshaft,Black,25000,Sedan,0.0,Daugavpils,2022,Jan,2
21,Male,2500000,Classic Chevy,Infiniti,I30,DoubleÃ‚Â Overhead Camshaft,Black,21000,Hardtop,0.0,Riga,2022,Jan,2
22,Male,585000,Diehl Motor CO Inc,Audi,A4,Overhead Camshaft,Pale White,12000,Hardtop,0.0,Jelgava,2022,Jan,2
23,Male,920000,Star Enterprises Inc,Porsche,Carrera Cabrio,DoubleÃ‚Â Overhead Camshaft,Pale White,18000,Passenger,0.0,Riga,2022,Jan,2
24,Male,672000,Suburban Ford,Volkswagen,Jetta,DoubleÃ‚Â Overhead Camshaft,Pale White,22000,Passenger,0.0,Ventspils,2022,Jan,2
25,Male,801250,Tri-State Mack Inc,Dodge,Viper,DoubleÃ‚Â Overhead Camshaft,Pale White,31250,SUV,0.0,Jelgava,2022,Jan,2
26,Female,820000,U-Haul CO,Buick,Regal,DoubleÃ‚Â Overhead Camshaft,Black,19000,Passenger,0.0,Riga,2022,Jan,2
